個人情報,,,,個人給与,,,,,,,,,会社労務費
ＮＯ,氏名,性別,年齢／月,基本,残業,通勤,支給合計,健康保険,厚生年金,雇用保険,控除,総支給,健康保険,厚生年金,雇用保険,労災保険,育児手当,労務費
0120,和田アキ子,女,41/04,180000,43872,8935,232807,11484,20820,1629,33933,198874,11484,20820,2560,1164,264,269099
0094,番ことみ,女,31/02,186000,37920,10375,234295,10200,20820,1640,32660,201635,10200,20820,2577,1171,264,269327
0102,片平なぎさ,女,36/03,176000,50400,11894,238294,10200,20820,1668,32688,205606,10200,20820,2621,1191,264,273390
0093,飯野めぐみ,女,30/02,196000,35520,10135,241655,10200,20820,1691,32711,208944,10200,20820,2658,1208,264,276805
0104,堀越のり,女,38/03,190000,48672,9655,248327,10200,20820,1738,32758,215569,10200,20820,2731,1241,264,283583
0091,馬渕英里何,女,29/02,206000,34320,9895,250215,11050,22555,1751,35356,214859,11050,22555,2752,1251,286,288109
0040,榊原郁恵,女,41/05,212300,33120,6775,252195,12441,22555,1765,36761,215434,12441,22555,2774,1260,286,291511
0110,優香,女,39/04,200000,47472,9415,256887,11050,22555,1798,35403,221484,11050,22555,2825,1284,286,294887
0089,藤本綾,女,28/01,216000,36720,10855,263575,11050,22555,1845,35450,228125,11050,22555,2899,1317,286,301682
0038,斎藤陽子,女,40/05,222300,35520,7015,264835,12441,22555,1853,36849,227986,12441,22555,2913,1324,286,304354
0115,林美貴子,女,40/04,210000,46272,9175,265447,12441,22555,1858,36854,228593,12441,22555,2919,1327,286,304975
0036,佐藤千亜妃,女,39/05,232300,34320,7255,273875,11900,24290,1917,38107,235768,11900,24290,3012,1369,308,314754
0078,中村美貴,女,27/01,226000,37920,10615,274535,11900,24290,1921,38111,236424,11900,24290,3019,1372,308,315424
0103,豊岡真澄,女,37/03,220000,49872,10375,280247,11900,24290,1961,38151,242096,11900,24290,3082,1401,308,321228
0042,三浦浩一,男,46/08,235600,42276,6864,284740,13398,24290,1993,39681,245059,13398,24290,3132,1423,308,327291
0077,滝口ミラ,女,26/01,236000,39120,11095,286215,11900,24290,2003,38193,248022,11900,24290,3148,1431,308,327292
0034,佐津川愛美,女,38/05,242300,36720,7584,286604,11900,24290,2006,38196,248408,11900,24290,3152,1433,308,327687
0099,福井未菜,女,36/03,230000,51072,10135,291207,12750,26025,2038,40813,250394,12750,26025,3203,1456,330,334971
0075,大沢逸美,女,24/01,246000,41520,7824,295344,12750,26025,2067,40842,254502,12750,26025,3248,1476,330,339173
0032,香椎由宇,女,37/04,252300,37920,7104,297324,12750,26025,2081,40856,256468,12750,26025,3270,1486,330,341185
0039,載寧龍二,男,45/08,245600,43476,7344,296420,14355,26025,2074,42454,253966,14355,26025,3260,1482,330,341872
0095,比企理恵,女,35/03,240000,52272,9895,302167,12750,26025,2115,40890,261277,12750,26025,3323,1510,330,346105
0076,大竹佑季,女,25/01,256000,40320,7584,303904,12750,26025,2127,40902,263002,12750,26025,3342,1519,330,347870
0028,近藤あゆみ,女,36/04,262300,39120,6864,308284,12750,26025,2157,40932,267352,12750,26025,3391,1541,330,352321
0030,工藤光一郎,男,44/08,255600,44676,7584,307860,14355,26025,2155,42535,265325,14355,26025,3386,1539,330,353495
0071,村松えり,女,23/00,266000,42720,8064,316784,13600,27760,2217,43577,273207,13600,27760,3484,1583,352,363563
0085,東亜優,女,32/02,250000,55872,11095,316967,13600,27760,2218,43578,273389,13600,27760,3486,1584,352,363749
0027,宮崎美子,女,35/04,272300,40320,7344,319964,13600,27760,2239,43599,276365,13600,27760,3519,1599,352,366794
0117,鈴木一真,男,43/07,265600,45876,7824,319300,15312,27760,2235,45307,273993,15312,27760,3512,1596,352,367832
0088,藤真利子,女,33/02,260000,54672,10615,325287,13600,27760,2277,43637,281650,13600,27760,3578,1626,352,372203
0066,石原さとみ,女,22/00,276000,43920,8304,328224,13600,27760,2297,43657,284567,13600,27760,3610,1641,352,375187
0026,久保田磨希,女,34/04,282300,41520,7584,331404,14450,29495,2319,46264,285140,14450,29495,3645,1657,374,381025
0112,輿石有亮,男,41/07,275600,48276,8304,332180,16269,29495,2325,48089,284091,16269,29495,3653,1660,374,383631
0092,柏木由紀子,女,34/03,270000,53472,10855,334327,14450,29495,2340,46285,288042,14450,29495,3677,1671,374,383994
0063,清水萌々子,女,20/00,286000,47520,8784,342304,14450,29495,2396,46341,295963,14450,29495,3765,1711,374,392099
0113,林家いっ平,男,42/07,285600,47076,8064,340740,16269,29495,2385,48149,292591,16269,29495,3748,1703,374,392329
0025,丘みつ子,女,33/03,292300,42720,7824,342844,14450,29495,2399,46344,296500,14450,29495,3771,1714,374,392648
0056,植松真美,女,27/01,320000,21600,6134,347734,14450,29495,2434,46379,301355,14450,29495,3825,1738,374,397616
0064,西端さおり,女,21/00,296000,45120,8544,349664,14450,29495,2447,46392,303272,14450,29495,3846,1748,374,399577
0081,中林芽依,女,30/02,280000,58272,11575,349847,14450,29495,2448,46393,303454,14450,29495,3848,1749,374,399763
0016,井森美幸,女,32/03,302300,43920,8064,354284,15300,31230,2479,49009,305275,15300,31230,3897,1771,396,406878
0107,木村了,男,40/06,295600,51876,8544,356020,17226,31230,2492,50948,305072,17226,31230,3916,1780,396,410568
0084,東ちづる,女,31/02,290000,57072,11335,358407,15300,31230,2508,49038,309369,15300,31230,3942,1792,396,411067
0060,仁藤優子,女,50/08,326000,22320,9264,357584,17226,31230,2503,50959,306625,17226,31230,3933,1787,396,412156
0062,星野真希,女,19/00,306000,46320,9024,361344,15300,31230,2529,49059,312285,15300,31230,3974,1806,396,414050
0044,山瀬まみ,女,26/01,330000,25200,6374,361574,15300,31230,2531,49061,312513,15300,31230,3977,1807,396,414284
0098,武田真治,男,39/06,305600,50676,8784,365060,15300,31230,2555,49085,315975,15300,31230,4015,1825,396,417826
0079,中村麻美,女,29/02,300000,59472,5654,365126,15300,31230,2555,49085,316041,15300,31230,4016,1825,396,417893
0015,伊藤かずえ,女,31/03,312300,45120,8304,365724,15300,31230,2560,49090,316634,15300,31230,4022,1828,396,418500
0058,森ちえみ,女,49/07,336000,23520,9744,369264,17226,31230,2584,51040,318224,17226,31230,4061,1846,396,424023
0035,佐藤仁美,女,25/01,340000,24000,6854,370854,16150,32965,2595,51710,319144,16150,32965,4079,1854,418,426320
0090,内田朝陽,男,38/06,315600,49476,9024,374100,16150,32965,2618,51733,322367,16150,32965,4115,1870,418,429618
0061,水崎綾女,女,51/08,316000,48720,9504,374224,18183,32965,2619,53767,320457,18183,32965,4116,1871,418,431777
0059,深田恭子,女,28/01,310000,60672,5894,376566,16150,32965,2635,51750,324816,16150,32965,4142,1882,418,432123
0057,新山千春,女,48/07,346000,24720,5095,375815,18183,32965,2630,53778,322037,18183,32965,4133,1879,418,433393
0011,芦名星,女,30/03,322300,47520,8544,378364,16150,32965,2648,51763,326601,16150,32965,4162,1891,418,433950
0033,今陽子,女,24/01,350000,22800,6614,379414,16150,32965,2655,51770,327644,16150,32965,4173,1897,418,435017
0003,あびる優,女,27/02,352300,25476,9504,387280,16150,32965,2710,51825,335455,16150,32965,4260,1936,418,443009
0007,ゆりん,女,29/02,332300,46320,8784,387404,16150,32965,2711,51826,335578,16150,32965,4261,1937,418,443135
0055,上原さくら,女,47/07,356000,25920,5335,387255,18183,32965,2710,53858,333397,18183,32965,4259,1936,418,445016
0087,藤原竜也,男,37/05,325600,54276,9504,389380,16150,32965,2725,51840,337540,16150,32965,4283,1946,418,445142
0029,戸田菜穂,女,23/00,360000,26400,7094,393494,16150,32965,2754,51869,341625,16150,32965,4328,1967,418,449322
0083,田口浩正,男,36/05,335600,53076,9264,397940,17425,35567,2785,55777,342163,17425,35567,4377,1989,451,457749
0002,Ｓｕｇａｒ,女,26/02,362300,26676,9264,398240,17425,35567,2787,55779,342461,17425,35567,4380,1991,451,458054
0072,大橋一三,男,32/04,365600,28272,5575,399447,17425,35567,2796,55788,343659,17425,35567,4393,1997,451,459280
0005,くまきりあさ美,女,28/02,342300,48720,9024,400044,17425,35567,2800,55792,344252,17425,35567,4400,2000,451,459887
0052,松下恵,女,46/07,366000,27120,5575,398695,19618,35567,2790,57975,340720,19618,35567,4385,1993,451,460709
0021,街田しおん,女,22/00,370000,27600,7334,404934,17425,35567,2834,55826,349108,17425,35567,4454,2024,451,464855
0001,SHEILA,女,25/01,372300,27876,9744,409920,17425,35567,2869,55861,354059,17425,35567,4509,2049,451,469921
0082,鶴見辰吾,男,35/05,345600,55476,9744,410820,17425,35567,2875,55867,354953,17425,35567,4519,2054,451,470836
0049,酒井彩名,女,45/06,376000,28320,5815,410135,19618,35567,2870,58055,352080,19618,35567,4511,2050,451,472332
0116,鈴木ヒロミツ,男,24/01,382300,29076,4464,415840,17425,35567,2910,55902,359938,17425,35567,4574,2079,451,475936
0019,夏樹陽子,女,21/00,380000,28800,7574,416374,17425,35567,2914,55906,360468,17425,35567,4580,2081,451,476478
0080,中尾明慶,男,34/05,355600,56676,5095,417371,17425,35567,2921,55913,361458,17425,35567,4591,2086,451,477491
0069,川村陽介,男,31/04,385600,29472,5815,420887,17425,35567,2946,55938,364949,17425,35567,4629,2104,451,481063
0045,山田美保子,女,43/06,386000,29520,6295,421815,19618,35567,2952,58137,363678,19618,35567,4639,2109,451,484199
0106,木下明水,男,23/01,392300,30276,4704,427280,18700,38170,2990,59860,367420,18700,38170,4700,2136,484,491470
0018,加美真陽,女,20/00,390000,32400,7814,430214,18700,38170,3011,59881,370333,18700,38170,4732,2151,484,494451
0054,松尾政寿,男,30/03,395600,30672,6055,432327,18700,38170,3026,59896,372431,18700,38170,4755,2161,484,496597
0047,寺田有希,女,44/06,396000,30720,6055,432775,21054,38170,3029,62253,370522,21054,38170,4760,2163,484,499406
0086,筒井康隆,男,22/00,402300,31476,4944,438720,18700,38170,3071,59941,378779,18700,38170,4825,2193,484,503092
0074,大石吾朗,男,33/04,375600,57876,5335,438811,18700,38170,3071,59941,378870,18700,38170,4826,2194,484,503185
0017,井村空美,女,19/00,400000,31200,8054,439254,18700,38170,3074,59944,379310,18700,38170,4831,2196,484,503635
0053,松山ケンイチ,男,29/03,405600,31872,6295,443767,18700,38170,3106,59976,383791,18700,38170,4881,2218,484,508220
0041,笹本玲奈,女,42/06,406000,31920,6535,444455,21054,38170,3111,62335,382120,21054,38170,4889,2222,484,511274
0013,安藤絵里菜,女,51/06,410000,30000,8294,448294,21054,38170,3138,62362,385932,21054,38170,4931,2241,484,515174
0068,千代将太,男,19/00,412300,35076,5664,453040,18700,38170,3171,60041,392999,18700,38170,4983,2265,484,517642
0050,松井誠,男,28/03,415600,34272,6535,456407,19975,40772,3194,63941,392466,19975,40772,5020,2282,517,524973
0070,船越英一郎,男,20/00,422300,33876,5424,461600,19975,40772,3231,63978,397622,19975,40772,5077,2308,517,530249
0048,鹿賀丈史,男,27/02,425600,33072,6775,465447,19975,40772,3258,64005,401442,19975,40772,5119,2327,517,534157
0012,綾瀬はるか,女,50/06,420000,34800,8534,463334,22489,40772,3243,66504,396830,22489,40772,5096,2316,517,534524
0073,大森博史,男,21/00,432300,32676,5184,470160,19975,40772,3291,64038,406122,19975,40772,5171,2350,517,538945
0010,愛華みれ,女,49/05,430000,33600,9014,472614,22489,40772,3308,66569,406045,22489,40772,5198,2363,517,543953
0037,妻夫木聡,男,26/02,435600,35472,7015,478087,19975,40772,3346,64093,413994,19975,40772,5258,2390,517,546999
0008,ユンソナ,女,48/05,440000,36000,8774,484774,22489,40772,3393,66654,418120,22489,40772,5332,2423,517,556307
0065,石垣佑磨,男,50/10,442300,37476,5904,485680,23925,43375,3399,70699,414981,23925,43375,5342,2428,550,561300
0031,工藤順一郎,男,25/02,445600,36672,7255,489527,21250,43375,3426,68051,421476,21250,43375,5384,2447,550,562533
0067,石川禅,男,51/10,452300,36276,6144,494720,23925,43375,3463,70763,423957,23925,43375,5441,2473,550,570484
0024,吉田鋼太郎,男,24/01,455600,37872,7495,500967,21250,43375,3506,68131,432836,21250,43375,5510,2504,550,574156
0121,濱田万葉,女,44/04,450000,40800,9974,500774,23925,43375,3505,70805,429969,23925,43375,5508,2503,550,576635
0051,松永博史,男,49/09,462300,38676,6384,507360,23925,43375,3551,70851,436509,23925,43375,5580,2536,550,583326
0122,籐子,女,45/05,460000,39600,9734,509334,23925,43375,3565,70865,438469,23925,43375,5602,2546,550,585332
0023,吉田たかよし,男,23/01,465600,39072,7735,512407,21250,43375,3586,68211,444196,21250,43375,5636,2562,550,585780
0004,キタキマユ,女,46/05,470000,38400,9494,517894,25360,45977,3625,74962,442932,25360,45977,5696,2589,583,598099
0046,市村正親,男,48/09,472300,39876,6624,518800,25360,45977,3631,74968,443832,25360,45977,5706,2594,583,599020
0022,吉村明宏,男,22/01,475600,40272,7975,523847,22525,45977,3666,72168,451679,22525,45977,5762,2619,583,601313
0006,チェン・チュー,女,47/05,480000,37200,9254,526454,25360,45977,3685,75022,451432,25360,45977,5790,2632,583,606796
0043,山崎裕太,男,47/09,482300,41076,7104,530480,25360,45977,3713,75050,455430,25360,45977,5835,2652,583,610887
0020,河原さぶ,男,21/00,485600,41472,8215,535287,22525,45977,3747,72249,463038,22525,45977,5888,2676,583,612936
0119,和希沙也,女,43/04,490000,42000,10214,542214,25360,45977,3795,75132,467082,25360,45977,5964,2711,583,622809
0014,伊集院光,男,20/00,495600,42672,8455,546727,23800,48580,3827,76207,470520,23800,48580,6013,2733,616,628469
0118,鈴木砂羽,女,42/04,500000,43200,10454,553654,26796,48580,3875,79251,474403,26796,48580,6090,2768,616,638504
0009,阿部力,男,19/00,505600,45072,8695,559367,23800,48580,3915,76295,483072,23800,48580,6153,2796,616,641312
0114,林知花,女,41/04,510000,44400,10694,565094,26796,48580,3955,79331,485763,26796,48580,6216,2825,616,650127
0111,有馬稲子,女,40/04,520000,45600,10934,576534,28231,51182,4035,83448,493086,28231,51182,6341,2882,649,665819
0109,野村恵里,女,39/04,530000,46800,11174,587974,25075,51182,4115,80372,507602,25075,51182,6467,2939,649,674286
0108,木南晴夏,女,38/03,540000,48000,11414,599414,25075,51182,4195,80452,518962,25075,51182,6593,2997,649,685910
0105,堀朱里,女,37/03,550000,49200,11654,610854,26350,53785,4275,84410,526444,26350,53785,6719,3054,682,701444
0096,美波,女,32/02,560000,56400,4800,621200,26350,53785,4348,84483,536717,26350,53785,6833,3106,682,711956
0097,浜口順子,女,33/02,570000,57600,5040,632640,26350,53785,4428,84563,548077,26350,53785,6959,3163,682,723579
