個人情報,,,,個人給与,,,,,,,,,会社労務費
ＮＯ,氏名,性別,年齢／月,基本,残業,通勤,支給合計,健康保険,厚生年金,雇用保険,控除,総支給,健康保険,厚生年金,雇用保険,労災保険,育児手当,労務費
0001,SHEILA,女,25/01,372300,27876,9744,409920,17425,35567,2869,55861,354059,17425,35567,4509,2049,451,469921
0002,Ｓｕｇａｒ,女,26/02,362300,26676,9264,398240,17425,35567,2787,55779,342461,17425,35567,4380,1991,451,458054
0003,あびる優,女,27/02,352300,25476,9504,387280,16150,32965,2710,51825,335455,16150,32965,4260,1936,418,443009
0004,キタキマユ,女,46/05,470000,38400,9494,517894,25360,45977,3625,74962,442932,25360,45977,5696,2589,583,598099
0005,くまきりあさ美,女,28/02,342300,48720,9024,400044,17425,35567,2800,55792,344252,17425,35567,4400,2000,451,459887
0006,チェン・チュー,女,47/05,480000,37200,9254,526454,25360,45977,3685,75022,451432,25360,45977,5790,2632,583,606796
0007,ゆりん,女,29/02,332300,46320,8784,387404,16150,32965,2711,51826,335578,16150,32965,4261,1937,418,443135
0008,ユンソナ,女,48/05,440000,36000,8774,484774,22489,40772,3393,66654,418120,22489,40772,5332,2423,517,556307
0010,愛華みれ,女,49/05,430000,33600,9014,472614,22489,40772,3308,66569,406045,22489,40772,5198,2363,517,543953
0011,芦名星,女,30/03,322300,47520,8544,378364,16150,32965,2648,51763,326601,16150,32965,4162,1891,418,433950
0012,綾瀬はるか,女,50/06,420000,34800,8534,463334,22489,40772,3243,66504,396830,22489,40772,5096,2316,517,534524
0013,安藤絵里菜,女,51/06,410000,30000,8294,448294,21054,38170,3138,62362,385932,21054,38170,4931,2241,484,515174
0015,伊藤かずえ,女,31/03,312300,45120,8304,365724,15300,31230,2560,49090,316634,15300,31230,4022,1828,396,418500
0016,井森美幸,女,32/03,302300,43920,8064,354284,15300,31230,2479,49009,305275,15300,31230,3897,1771,396,406878
0017,井村空美,女,19/00,400000,31200,8054,439254,18700,38170,3074,59944,379310,18700,38170,4831,2196,484,503635
0018,加美真陽,女,20/00,390000,32400,7814,430214,18700,38170,3011,59881,370333,18700,38170,4732,2151,484,494451
0019,夏樹陽子,女,21/00,380000,28800,7574,416374,17425,35567,2914,55906,360468,17425,35567,4580,2081,451,476478
0021,街田しおん,女,22/00,370000,27600,7334,404934,17425,35567,2834,55826,349108,17425,35567,4454,2024,451,464855
0025,丘みつ子,女,33/03,292300,42720,7824,342844,14450,29495,2399,46344,296500,14450,29495,3771,1714,374,392648
0026,久保田磨希,女,34/04,282300,41520,7584,331404,14450,29495,2319,46264,285140,14450,29495,3645,1657,374,381025
0027,宮崎美子,女,35/04,272300,40320,7344,319964,13600,27760,2239,43599,276365,13600,27760,3519,1599,352,366794
0028,近藤あゆみ,女,36/04,262300,39120,6864,308284,12750,26025,2157,40932,267352,12750,26025,3391,1541,330,352321
0029,戸田菜穂,女,23/00,360000,26400,7094,393494,16150,32965,2754,51869,341625,16150,32965,4328,1967,418,449322
0032,香椎由宇,女,37/04,252300,37920,7104,297324,12750,26025,2081,40856,256468,12750,26025,3270,1486,330,341185
0033,今陽子,女,24/01,350000,22800,6614,379414,16150,32965,2655,51770,327644,16150,32965,4173,1897,418,435017
0034,佐津川愛美,女,38/05,242300,36720,7584,286604,11900,24290,2006,38196,248408,11900,24290,3152,1433,308,327687
0035,佐藤仁美,女,25/01,340000,24000,6854,370854,16150,32965,2595,51710,319144,16150,32965,4079,1854,418,426320
0036,佐藤千亜妃,女,39/05,232300,34320,7255,273875,11900,24290,1917,38107,235768,11900,24290,3012,1369,308,314754
