個人情報,,,,個人給与,,,,,,,,,会社労務費
ＮＯ,氏名,性別,年齢／月,基本,残業,通勤,支給合計,健康保険,厚生年金,雇用保険,控除,総支給,健康保険,厚生年金,雇用保険,労災保険,育児手当,労務費
0009,阿部力,男,19/00,505600,45072,8695,559367,23800,48580,3915,76295,483072,23800,48580,6153,2796,616,641312
0014,伊集院光,男,20/00,495600,42672,8455,546727,23800,48580,3827,76207,470520,23800,48580,6013,2733,616,628469
0020,河原さぶ,男,21/00,485600,41472,8215,535287,22525,45977,3747,72249,463038,22525,45977,5888,2676,583,612936
0022,吉村明宏,男,22/01,475600,40272,7975,523847,22525,45977,3666,72168,451679,22525,45977,5762,2619,583,601313
0023,吉田たかよし,男,23/01,465600,39072,7735,512407,21250,43375,3586,68211,444196,21250,43375,5636,2562,550,585780
0024,吉田鋼太郎,男,24/01,455600,37872,7495,500967,21250,43375,3506,68131,432836,21250,43375,5510,2504,550,574156
0030,工藤光一郎,男,44/08,255600,44676,7584,307860,14355,26025,2155,42535,265325,14355,26025,3386,1539,330,353495
0031,工藤順一郎,男,25/02,445600,36672,7255,489527,21250,43375,3426,68051,421476,21250,43375,5384,2447,550,562533
0037,妻夫木聡,男,26/02,435600,35472,7015,478087,19975,40772,3346,64093,413994,19975,40772,5258,2390,517,546999
0039,載寧龍二,男,45/08,245600,43476,7344,296420,14355,26025,2074,42454,253966,14355,26025,3260,1482,330,341872
0042,三浦浩一,男,46/08,235600,42276,6864,284740,13398,24290,1993,39681,245059,13398,24290,3132,1423,308,327291
0043,山崎裕太,男,47/09,482300,41076,7104,530480,25360,45977,3713,75050,455430,25360,45977,5835,2652,583,610887
0046,市村正親,男,48/09,472300,39876,6624,518800,25360,45977,3631,74968,443832,25360,45977,5706,2594,583,599020
0048,鹿賀丈史,男,27/02,425600,33072,6775,465447,19975,40772,3258,64005,401442,19975,40772,5119,2327,517,534157
0050,松井誠,男,28/03,415600,34272,6535,456407,19975,40772,3194,63941,392466,19975,40772,5020,2282,517,524973
0051,松永博史,男,49/09,462300,38676,6384,507360,23925,43375,3551,70851,436509,23925,43375,5580,2536,550,583326
0053,松山ケンイチ,男,29/03,405600,31872,6295,443767,18700,38170,3106,59976,383791,18700,38170,4881,2218,484,508220
0054,松尾政寿,男,30/03,395600,30672,6055,432327,18700,38170,3026,59896,372431,18700,38170,4755,2161,484,496597
0065,石垣佑磨,男,50/10,442300,37476,5904,485680,23925,43375,3399,70699,414981,23925,43375,5342,2428,550,561300
0067,石川禅,男,51/10,452300,36276,6144,494720,23925,43375,3463,70763,423957,23925,43375,5441,2473,550,570484
0068,千代将太,男,19/00,412300,35076,5664,453040,18700,38170,3171,60041,392999,18700,38170,4983,2265,484,517642
0069,川村陽介,男,31/04,385600,29472,5815,420887,17425,35567,2946,55938,364949,17425,35567,4629,2104,451,481063
0070,船越英一郎,男,20/00,422300,33876,5424,461600,19975,40772,3231,63978,397622,19975,40772,5077,2308,517,530249
0072,大橋一三,男,32/04,365600,28272,5575,399447,17425,35567,2796,55788,343659,17425,35567,4393,1997,451,459280
0073,大森博史,男,21/00,432300,32676,5184,470160,19975,40772,3291,64038,406122,19975,40772,5171,2350,517,538945
0074,大石吾朗,男,33/04,375600,57876,5335,438811,18700,38170,3071,59941,378870,18700,38170,4826,2194,484,503185
0080,中尾明慶,男,34/05,355600,56676,5095,417371,17425,35567,2921,55913,361458,17425,35567,4591,2086,451,477491
0082,鶴見辰吾,男,35/05,345600,55476,9744,410820,17425,35567,2875,55867,354953,17425,35567,4519,2054,451,470836
0083,田口浩正,男,36/05,335600,53076,9264,397940,17425,35567,2785,55777,342163,17425,35567,4377,1989,451,457749
0086,筒井康隆,男,22/00,402300,31476,4944,438720,18700,38170,3071,59941,378779,18700,38170,4825,2193,484,503092
0087,藤原竜也,男,37/05,325600,54276,9504,389380,16150,32965,2725,51840,337540,16150,32965,4283,1946,418,445142
0090,内田朝陽,男,38/06,315600,49476,9024,374100,16150,32965,2618,51733,322367,16150,32965,4115,1870,418,429618
0098,武田真治,男,39/06,305600,50676,8784,365060,15300,31230,2555,49085,315975,15300,31230,4015,1825,396,417826
0106,木下明水,男,23/01,392300,30276,4704,427280,18700,38170,2990,59860,367420,18700,38170,4700,2136,484,491470
0107,木村了,男,40/06,295600,51876,8544,356020,17226,31230,2492,50948,305072,17226,31230,3916,1780,396,410568
0112,輿石有亮,男,41/07,275600,48276,8304,332180,16269,29495,2325,48089,284091,16269,29495,3653,1660,374,383631
0113,林家いっ平,男,42/07,285600,47076,8064,340740,16269,29495,2385,48149,292591,16269,29495,3748,1703,374,392329
0116,鈴木ヒロミツ,男,24/01,382300,29076,4464,415840,17425,35567,2910,55902,359938,17425,35567,4574,2079,451,475936
0117,鈴木一真,男,43/07,265600,45876,7824,319300,15312,27760,2235,45307,273993,15312,27760,3512,1596,352,367832
合計,,,,15132100,1593108,273712,16998920,750304,1479080,118975,2348359,14650561,750304,1479080,186968,84977,18755,19519004
